RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10
6181,New York,New York,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457600,462800,465400,464500,470700,474200,469900,470300,471200,477600,470900,456200,446400,440700,447500,451700,460700,472000,476300,485600,482200,488600,491100,502000,497300,491200,475900,476900,480600,482400,481100,475100,483400,490000,498400,484500,481800,474000,488000,484200,481800,480600,491800,501600,501700,496700,488700,490100,491100,499900,506500,507600,510800,510600,518400,519300,521100,521500,525500,532200,538100,527200,548900,552400,564000,540100,536700,532600,528100,521900,528700,532000,536400,529900,530200,531000,534500,541800,541300,554500,550000,551800,540000,542000,542200,552200,552600,559100,556400,555400,546600,545300,551800,562100,562400,561500,564600,556900,564200,562500,576400,560600,561700,566300,567000,563800,554900
12447,Los Angeles,California,2,506200,487600,463200,453900,438700,423500,408700,398700,386100,370800,356200,346900,342500,332800,324800,326900,332600,338500,341800,345300,349100,352900,360000,363600,360200,352600,350600,349500,351400,347700,350900,347800,350600,352200,350700,351800,343200,345000,341600,342600,340400,339500,338000,332200,328700,326100,327000,327800,329200,332300,331100,335700,342400,350900,360800,364300,374600,388900,398500,408900,411900,425400,434900,448200,460800,465500,469800,470300,466500,456300,445200,447500,448300,453500,455300,457000,461300,463100,466000,470000,470200,474300,473600,480400,485000,490300,488000,489300,491700,500800,502100,499800,497800,508700,519300,525000,520700,523200,526500,528300,529000,530600,537100,536700,542100,538400,548100,546500,552700,548200,553500,559900,566800,567700,572000,581300,600700,608200,610700,615100,623200,628300,626800,633400,633300,638500,642600,660300,671000,671300,682200,685400,701200,699900,701100,703700,708900,713700,710300,709900
39051,Houston,Texas,3,138400,134700,131200,129600,132000,134000,136600,135200,132800,125700,125500,123200,126700,125500,127900,132000,136600,139300,140800,140200,139600,135800,134800,134000,135700,135500,135200,133800,129900,129000,127400,131700,135300,141200,138900,137500,132200,129900,128100,131100,132600,132600,130900,134000,136300,138500,135200,131100,131500,137400,142800,145100,143700,142500,138900,137800,141400,144600,147600,146100,145500,149400,153200,158200,160800,162100,163100,161600,162600,163500,162800,165000,164800,166900,165800,165400,165900,167100,166700,169100,167400,167000,167400,166400,169200,166500,167900,168300,170000,172900,171800,170800,169400,171800,177000,177400,175700,173500,176300,178400,180500,179500,181000,182700,185800,187100,187800,189300,191700,191800,189900,190100,188000,189200,189100,192100,194500,194900,195300,198400,199600,201000,198300,196200,196200,195400,199300,202300,208600,209400,210500,206500,207700,206300,210700,211600,210300,209900,207000,212100
17426,Chicago,Illinois,4,329700,320400,295600,276600,269400,265900,267600,267100,259000,254800,244200,245500,247300,242100,231000,216800,219500,223600,225700,223900,228400,226900,232800,225200,224600,220500,223900,223800,212000,200700,185600,189200,190900,193600,192700,195600,194900,188000,178000,181400,189500,195900,195300,191200,181400,178700,175300,178500,179100,181200,183800,186500,192000,195200,200200,193500,195000,187000,195700,192300,199200,199300,210600,220600,231900,237800,236200,237700,235800,234300,235600,239700,244300,243100,245400,248600,245700,245100,249000,253300,252700,249900,252600,253300,258000,257900,257800,250600,245000,236100,232100,226100,218800,217400,216300,221500,221100,223300,224500,222500,224600,225900,227000,228700,235000,245500,255800,253100,253000,242200,237100,225500,220100,223800,223600,228600,228100,233200,238000,243900,259700,259800,257000,245900,253600,258600,261700,258000,263100,245800,255600,266500,299900,298300,287600,277700,275400,272800,270600,266200
6915,San Antonio,Texas,5,130300,131300,131300,131700,131700,132600,131800,132200,130300,127700,126600,126300,129300,131800,134200,135200,135500,135400,135500,134600,133600,131500,129800,130200,129500,130000,128500,128600,128500,131200,133400,135900,136600,136400,135700,131500,130500,128900,131100,130800,131000,130800,132300,133400,133000,132800,130200,130300,130600,133700,137000,138200,138900,137400,137700,137900,139000,138700,136000,136600,139100,143300,145000,146000,147500,149200,148600,149100,149200,149100,150400,151000,152800,153700,154300,154500,154600,154100,155300,156000,157700,158700,159900,161400,162500,163600,163800,165200,165700,167100,168300,168600,167200,166800,167600,167500,168800,169400,171100,170900,172000,173200,174100,174300,175000,175500,174200,175400,174500,175800,175300,177700,176300,177400,177300,181100,182100,185000,185800,185600,185100,185300,186600,186300,186200,185900,187200,192100,194700,195000,190500,189500,191100,193600,196500,197600,199400,201100,201600,204400
13271,Philadelphia,Pennsylvania,6,112500,112100,111200,108900,107300,110900,114100,114800,113600,110100,109300,103000,102100,107800,111100,113900,109000,115600,119600,122500,126200,125400,123500,114800,114500,116900,119400,118900,114300,107600,105100,100700,105600,102100,107600,107000,110600,108400,107600,107500,104400,105500,105200,106000,103100,103500,105200,102800,101600,103100,107800,106200,105500,107900,106200,103600,102600,109000,110900,109200,104000,105400,104700,108100,109300,110700,110700,112200,114300,117400,118000,118100,121600,121800,121700,118100,116600,118200,117000,117700,115700,117000,116900,112300,114300,116300,119700,119300,119100,120100,121900,123600,124200,119600,126000,124600,125500,115900,118800,120400,124000,124200,126300,124300,126400,127800,132900,136600,139000,139400,139000,141200,142200,143700,142500,142100,145800,145200,150100,142600,142100,136800,140600,140500,141500,140000,141100,141900,147000,150400,153900,155400,155800,157700,157800,161600,162700,162500,165000,
40326,Phoenix,Arizona,7,218800,209100,201300,193200,184500,174900,166400,154400,141400,123900,108100,93700,83300,75900,74100,81500,88800,95700,95900,97900,104100,103800,104100,99600,100600,99400,100600,101900,100800,97000,93900,91900,88300,83700,84400,82200,81900,77800,77900,79000,80400,82900,85300,87500,90300,92100,89100,84800,81600,84600,93300,97600,102500,105000,107900,112300,115800,119100,121700,120300,120900,121500,127300,133400,137500,138500,138600,139000,137000,136800,136200,137300,137700,138100,138000,138400,139800,141400,143500,143300,143100,144500,144100,147300,149700,155300,159000,162400,163200,162200,161100,164100,167300,169600,168900,169100,170200,172000,174300,176600,177400,179700,182100,184300,187600,187300,189400,188300,189400,188300,189400,191100,193800,195900,197600,200200,202700,205100,208800,211700,213100,215200,214900,215900,218800,219600,221300,220400,223400,221300,222400,222100,225700,225900,228200,231400,232800,233600,236700,240700
18959,Las Vegas,Nevada,8,246100,242200,236700,228600,219300,208700,196800,186600,176800,168400,159000,150100,143100,134000,125500,121100,120400,120300,119500,121400,122800,124100,123200,123400,123700,125600,127300,127800,125300,123600,121400,120300,119400,117400,115800,114000,112300,111100,109500,108200,106500,104200,103700,104400,105400,105700,106000,106500,109400,111600,113300,114500,116100,118200,120800,123500,127900,131200,134300,136600,139000,141600,144400,150200,155000,158300,158600,161300,163600,165100,165500,166400,169000,170200,170000,162400,162900,167300,175200,176500,176200,178300,177200,178400,179300,182500,183400,180600,184700,185900,192200,190300,191000,191400,194600,198200,197600,196200,194800,195000,195600,195500,196800,198500,200500,201000,203500,206000,212500,214600,216800,219100,223200,226400,229300,231400,234500,236400,238700,242100,245100,248200,251600,255100,257300,258800,260600,264200,265300,264300,265300,266200,269300,266500,266200,265700,268800,269600,271800,272600
54296,San Diego,California,9,418600,405300,394900,382300,372700,358900,350100,335300,322600,312600,301300,304700,298200,295600,291100,305800,319900,329300,338100,342900,343800,344700,341000,342300,340900,345400,345000,343400,344400,345100,347800,349400,356400,354900,346100,337100,332500,338700,340200,336500,332600,325600,324500,322700,322900,325500,323200,328200,330400,338000,344700,350700,360100,363100,365200,367100,375300,386500,391500,395600,399400,409500,421600,426800,429700,426700,435700,434400,435600,433400,437100,440300,439800,441100,443200,446100,450100,456800,463300,467600,465200,463000,464500,475700,482900,482900,477300,477000,480800,481000,474600,469200,472000,485100,498800,501600,491800,492500,494800,501500,501500,504100,510100,517300,521600,520400,526400,537900,543500,536200,528500,535600,543400,547900,548700,550900,563100,569900,575700,575800,580800,586500,591600,594900,592500,592500,596200,593500,588300,581400,589300,598100,600100,600900,595700,597500,597100,601100,602400,
38128,Dallas,Texas,10,145700,142400,151000,157700,164700,164000,157300,147400,142700,130900,122300,119700,126000,132900,140800,152800,161400,164400,159400,161600,163500,161900,160500,148800,151900,157500,170200,173800,168700,170000,173500,168600,165400,166900,186300,180500,170300,151600,162600,170300,177000,178300,177400,171400,161600,167100,167500,171100,172100,184800,195800,200100,212800,221400,227300,222500,210400,211100,210400,210000,210800,218400,234200,241400,240700,245000,245800,246600,244200,242300,249300,248700,241400,236000,235800,239800,240600,239100,240400,242400,239400,244800,241600,249600,253100,253900,255200,252600,258000,259300,258500,256400,257300,256800,264700,257800,264500,262500,269700,267100,263300,265900,275500,283200,288900,282400,286400,284100,283900,281100,285400,290300,289300,290000,290400,292300,291600,294700,294600,299200,300200,301200,298200,298200,303700,301200,297400,288900,293600,299900,297800,292000,282800,288200,297200,309100,308300,304200,311600,
