,name,latitude,longitude,price,hostStart,propType
0,"OCEAN VIEW 1BLK2BEACH,LANAI A/C,FULL KITCH,CENTRAL",21.27603,-157.8221,69.00,2008-09-30,Condominium
1,MAUKA BB,20.04095,-155.43251,85.00,2009-01-31,Bed and breakfast
2,Upcountry Hospitality in the 'Auwai Suite,20.02621,-155.70145,97.00,2009-02-09,Apartment
3,Hale Koa Studio & 1 Bedroom Units!!,19.43119,-155.88079,92.00,2009-02-13,Apartment
4,Keauhou Villa,19.56413,-155.96347,299.00,2009-02-13,House
5,STAY AT PRINCE KUHIO!,21.88305,-159.47372,92.00,2009-02-14,Condominium
6,Kauai Ocean View 3 Story Tiki Tower North Shore,22.219720000000002,-159.46958,295.00,2009-02-16,House
7,Isle Of You Naturally Farm Retreat,19.442510000000002,-154.91508000000002,85.00,2009-02-18,Cabin
8,Poipu Beach Guest House--- Orchid,21.881510000000002,-159.47267,140.00,2009-03-19,Apartment
9,Beachfront Maui Sunset Condo,20.7547,-156.45666,172.00,2009-06-16,Condominium
10,Stay in the Heart of Kona,19.60709,-155.97423999999998,99.00,2009-06-13,Apartment
11,Keolamauloa Homestead,20.02889,-155.40747,120.00,2009-08-22,Guest suite
12,Pink Palace /Shark's Cove- Go green,21.65231,-158.06191,310.00,2009-08-20,House
13,Studio On Princeville  Golf Course / Paniolo Condo,22.21961,-159.46998,105.00,2009-11-05,Condominium
14,"All Inclusive, Sleeps 8, Hot Tub",21.3393,-157.70216000000002,250.00,2009-11-10,Guest suite
15,Romantic Ocean Front,19.61421,-155.98301999999998,155.00,2009-11-10,Other
16,2BR Pacific Shores by the Beach,20.72475,-156.44926,200.00,2009-11-10,Condominium
17,Ocean View Jacuzzi suite - 5min walk to Beach,20.90087,-156.68327,220.00,2009-11-12,Guest suite
18,Oceanfront Bali Cottage w/  Hot tub @ Kehena Beach,19.39307,-154.93124,139.00,2009-11-12,Guesthouse
19,Luana Kai Oceanfront Condo by Owner,20.75874,-156.4567,119.00,2009-11-14,Condominium
20,DELUXE OCEAN FRONT Kaanapali Beach Club VIEW Condo,20.94787,-156.68974,285.00,2009-11-16,Apartment
21,Main Lodge at Hawaiian Retreat,19.52052,-154.84521999999998,85.00,2009-11-16,Farm stay
22,Nature Cottage at Hawaiian Retreat,19.52348,-154.84686000000002,55.00,2009-11-16,Farm stay
23,Yurt,19.441979999999997,-154.92143000000002,75.00,2009-02-18,Hut
